Date,Management Unit,County,Sex,Age,Status,Weight,Length,,,
12/4/88,Keating,Baker,F,1,A,81,75,,,
12/4/88,Applegate,Josephine,M,2,B,122,76,,,
12/5/88,Rogue,Jackson,F,3,A,110,,,,
12/5/88,Sled Springs,Wallowa,F,2,B,84,71,,,
12/5/88,Chesnimnus,Wallowa,M,4,A,151,82,,,
12/6/88,Powers,Curry,M,3,C,,86,,,
12/7/88,Lookout Mtn,Baker,F,4,A,84,75,,,
12/7/88,Imnaha,Wallowa,M,3,A,113,77,,,
12/7/88,Minam,Wallowa,M,3,A,117,78,,,
12/7/88,Sled Springs,Wallowa,M,2,A,118,81,,,
12/7/88,Catherine Creek,Union,M,4,A,130,82,,,
12/8/88,Chesnimnus,Wallowa,F,6,A,91,,,,
12/8/88,Wenaha,Union,M,1,A,117,80,,,
12/10/88,Sled Springs,Wallowa,M,4,B,125,82,,,
12/10/88,Applegate,Jackson,M,4,C,,82,,,
12/11/88,Keating,Baker,M,2,C,,79,,,
12/14/88,Chesnimnus,Wallowa,F,3,A,83,71,,,
12/14/88,Applegate,Jackson,M,9,A,140,72,,,
12/15/88,Imnaha,Wallowa,M,0,A,32,55,,,
12/16/88,Minam,Wallowa,F,6,A,85,71,,,
12/16/88,Chesnimnus,Wallowa,F,2,A,87,73,,,
12/18/88,Keating,Baker,M,2,A,111,81,,,
12/18/88,Wenaha,Union,M,2,A,121,81,,,
12/20/88,Minam,Wallowa,F,1,A,57,63,,,
12/20/88,Lookout Mtn,Baker,F,2,A,78,70,,,
12/20/88,Chesnimnus,Wallowa,F,4,A,78,76,,,
12/20/88,Mt Emily,Umatilla,F,1,A,84,77,,,
12/21/88,Hood,Hood River,F,1,A,60,72,,,
12/21/88,Applegate,Jackson,F,2,A,75,73,,,
12/21/88,Hood,Hood River,F,4,A,85,78,,,
12/22/88,Minam,Wallowa,F,0,A,31,,,,
12/22/88,Minam,Wallowa,M,10,A,134,76,,,
12/22/88,Snake River,Wallowa,M,4,A,120,82,,,
12/22/88,Wenaha,Union,M,4,A,154,86,,,
12/23/88,Snake River,Wallowa,M,1,B,91,,,,
12/23/88,Minam,Wallowa,F,3,A,75,72,,,
12/23/88,Applegate,Jackson,M,3,A,125,82,,,
12/24/88,Dixon,Douglas,M,2,A,130,84,,,
12/26/88,Chesnimnus,Wallowa,F,2,C,,75,,,
12/26/88,Snake River,Wallowa,M,8,A,142,86,,,
12/27/88,Indigo,Lane,F,1,A,63,68,,,
12/27/88,Indigo,Lane,M,2,A,125,82,,,
12/28/88,Dixon,Douglas,M,3,A,150,,,,
12/28/88,Dixon,Douglas,F,1,B,65,72,,,
12/30/88,Rogue,Jackson,F,2,A,85,74,,,
12/30/88,White River,Wasco,M,1,A,100,79,,,
12/31/88,Indigo,Lane,M,2,A,115,59,,,
12/31/88,Dixon,Douglas,M,0,A,60,64,,,
12/31/88,Sled Springs,Wallowa,F,1,A,75,73,,,
12/31/88,Dixon,Douglas,F,2,A,75,75,,,
12/31/88,Rogue,Jackson,M,3,A,121,79,,,
12/31/88,McKenzie,Lane,F,3,A,72,81,,,
12/31/88,Dixon,Douglas,M,2,B,125,84,,,
1/3/89,Dixon,Douglas,F,2,A,75,74,,,
